Quarter,Samsung,Huawei,Xiaomi,Apple,Oppo,Vivo,Others
2018Q1,78200000,39300000,28100000,52200000,24200000,18900000,121700000
2018Q2,71500000,54200000,32000000,41300000,29600000,26500000,113300000
2018Q3,72300000,52000000,33300000,46900000,33900000,30500000,110900000
2018Q4,69800000,59700000,25600000,65900000,31300000,26500000,115800000
2019Q1,72000000,59100000,27800000,42000000,25700000,23900000,90530000
2019Q2,76300000,56600000,32300000,36500000,30600000,27000000,97710000
2019Q3,78200000,66800000,31700000,44800000,32300000,31300000,94900000
2019Q4,70400000,56200000,32900000,72300000,31400000,31500000,106370000
2020Q1,58600000,49000000,29700000,40000000,22300000,21600000,73800000
2020Q2,54200000,54800000,26500000,37500000,24500000,22500000,56070000
2020Q3,80400000,50900000,46200000,41700000,31000000,31000000,84440000
